613,622.7,607.7,614.15,4427
586,596.95,580.4,593.95,2576
569,587.95,568,584.9,1756
575.9,578.95,569.9,573.85,1024
576.35,585.75,574.6,576.9,1207
574.95,577.45,568.4,573.8,989
579.95,582.65,567,570.75,1004
583.95,585,577.6,579.65,1361
572.5,586.2,568,578.55,1990
567,572.5,565.9,570.5,369
557.25,565.8,557.25,560.85,1177
552,556.8,545.3,555.4,1123
563,563.45,551.55,553.4,954
547.1,563.5,546.75,562.45,2044
526.4,544.7,524.2,543.65,1349
530.2,534.85,526,527.2,855
533,533.8,520.2,521.45,1297
530,535,526,533.8,852
530.75,533.7,525.5,527.4,1083
525.7,533.9,522.2,530.75,965
535.5,535.6,526.55,530.2,1107
534.6,541.8,534.6,537.3,951
533,535.8,527.8,532.7,875
527.6,531.65,518.5,519.75,935
524,536.9,516.15,530.6,1747
529,535.7,519.55,521.75,1731
532.9,539.8,520.35,524.85,1223
544.55,550.9,533.2,536.5,1107
545.8,549,533,543.3,1616
564.8,568,549.5,550.6,1256
427.25,437.4,427.25,434.9,149
416.25,426,416.25,425.35,4887
418.55,423.2,414.45,416.25,4312
421.5,425,420,422.1,9073
414,422.45,412.85,421.5,7895
413.5,416.15,411.35,412.6,4388
407.5,411.25,406.1,409.85,5874
405.55,411.55,404,407.65,111
404,410.4,403.35,404.6,7047
403,404.85,400.05,401.55,1505
397.1,402.35,394.75,397.95,4168
397.5,399.85,393.1,398.05,7536
405.15,407.1,397.5,399.05,6085
400.2,406.5,400.2,404.3,4239
394,398.85,392.3,396.1,3750
405.15,409,395.35,396.2,4905
396,403.4,394.5,398.95,4619
395,398.2,391.2,396.5,5588
396.95,399.45,391.45,393.3,340
403.1,403.95,393.15,395.95,218
414,414,408.7,412.2,3971
409,417.5,409,414,110
406,408.95,402.95,407.95,4647
405.9,406.7,395.5,397.65,149
397.5,408.25,392.4,404.65,150
409.4,413.35,399.5,402.3,69345
395,406.4,392.75,399.05,124
403,404.2,390.45,398.8,185
416,417.65,393.35,397.65,123
431.5,432,420.65,423.05,9805
42.9,43.55,41.65,41.85,1095
41.75,42.15,41.35,41.8,6116
39,41.6,38.9,41.3,1042
39.95,40,39,39.25,6497
